Source	Property
YJL166W	1
GO:0006122	0.444456223941
YEL024W	1
GO:0005739	0.191416073496
GO:0005750	0.360780176164
GO:0009167	0.610752542349
GO:0009123	0.146355669397
GO:0044281	0.602248570094
GO:0044710	0.283830902845
GO:0009161	0.710352769093
GO:1901360	0.252483244667
GO:0071704	0.821240974457
GO:0044699	0.11640059745
GO:1902495	0.370468886845
GO:0022900	0.850698063954
GO:0044763	0.280535655304
GO:0022904	0.971264983214
GO:0044425	0.788549009484
GO:0005575	0.324022379946
GO:0008150	0.29738172855
GO:00SUPER	0.889654636284
GO:0008152	0.857529887321
GO:0006753	0.600452011572
GO:0055086	0.704462248131

GO:0008152	0
GO:0006753	0
GO:0055086	0
